Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-26.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-29.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-01.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-02.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-03.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-04.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-05.tsv...
Name	Date	Min_Date	Max_Date	WallClock	Fitness	Count	Error_Count	Total_Duration	Total_Mbps	Total_ErrorDuration	Avg_Duration	Avg_Mbps	Avg_Errors	Avg_ErrorDuration	Min_Duration	Max_Duration	Min_Mbps	Max_Mbps
2020-06-05	2020-06-05T16:46:00.0000000	2020-06-05T16:46:00.4971215-07:00	2020-06-05T16:46:59.8029426-07:00	59305.82	1.0143355	69	0	60156	131.53	0	871.8261	1.9062319	0	0	340	1422	1.08	4.5
2020-06-05	2020-06-05T16:47:00.0000000	2020-06-05T16:47:00.5826807-07:00	2020-06-05T16:47:59.8180272-07:00	59235.348	1.0123854	65	0	59969	118.47	0	922.6	1.8226154	0	0	359	1472	1.04	4.26
2020-06-05	2020-06-05T16:48:00.0000000	2020-06-05T16:48:00.3060057-07:00	2020-06-05T16:48:59.1561253-07:00	58850.12	0.922428	63	1	54285	120.99999	5014	861.6667	1.9206347	0.015625	5014	379	1532	1	4.03
2020-06-05	2020-06-05T16:49:00.0000000	2020-06-05T16:49:00.0357488-07:00	2020-06-05T16:49:59.2832929-07:00	59247.543	1.014118	75	0	60084	155.52	0	801.12	2.0736	0	0	401	1476	1.04	3.82
2020-06-05	2020-06-05T16:50:00.0000000	2020-06-05T16:50:00.0765724-07:00	2020-06-05T16:50:59.2116190-07:00	59135.047	1.0125806	74	0	59879	150.86	0	809.17566	2.0386486	0	0	449	1390	1.1	3.4
2020-06-05	2020-06-05T16:51:00.0000000	2020-06-05T16:51:00.3892737-07:00	2020-06-05T16:51:59.5054220-07:00	59116.15	1.0192139	74	0	60252	150.69998	0	814.2162	2.0364861	0	0	447	1511	1.01	3.42
2020-06-05	2020-06-05T16:52:00.0000000	2020-06-05T16:52:00.3118225-07:00	2020-06-05T16:52:59.3777520-07:00	59065.93	1.012919	71	0	59829	142.62003	0	842.662	2.0087328	0	0	316	1456	1.05	4.84
2020-06-05	2020-06-05T16:53:00.0000000	2020-06-05T16:53:00.2660620-07:00	2020-06-05T16:53:59.5269891-07:00	59260.926	1.0142602	74	0	60106	149.93001	0	812.2432	2.026081	0	0	446	1613	0.95	3.43
2020-06-05	2020-06-05T16:54:00.0000000	2020-06-05T16:54:00.3929778-07:00	2020-06-05T16:54:59.1506424-07:00	58757.664	1.0139784	70	0	59579	137.20001	0	851.1286	1.9600002	0	0	416	1407	1.09	3.68
2020-06-05	2020-06-05T16:55:00.0000000	2020-06-05T16:55:00.0077566-07:00	2020-06-05T16:55:59.8635361-07:00	59855.78	1.0135195	73	0	60665	145.83997	0	831.0274	1.9978077	0	0	449	1537	1	3.41
